meanfreq,sd,median,Q25,Q75,iqr,skew,kurt,mode,low,peak,centroid,flatness,spectral rolloff,spectral bandwidth,LABEL
0.15825239096520385,0.055636023447152544,0.135,0.1275,0.18,0.0525,1.0163439133534813,-0.06771923724409712,0.135,0.075,0.28,908.2508781300862,5.432928446680307e-05,1695.8651944366745,1057.4851005389444,m
0.17833333333333334,0.0627162924074226,0.15,0.145,0.155,0.01,1.2946908658965497,-0.25512903380254803,0.145,0.13,0.295,1497.3135699698985,0.00024722449597902596,2744.617552857299,1597.7832751750273,m
0.2174622131638503,0.04403738565391248,0.215,0.19,0.25,0.06,-0.10029713091681884,-0.3880129792860347,0.215,0.1,0.295,1260.925750738311,0.00021603670029435307,2355.731181420091,1305.2292973014266,m
0.16089543425609001,0.06097563689130625,0.14,0.1,0.2125,0.1125,0.4967090193893881,-1.1628436942183416,0.1,0.09992193598750976,0.29,1258.8160720961512,0.00018302589887753132,2429.696077995398,1410.9274390440046,m
0.20865136680389615,0.05585693768769633,0.21,0.165,0.255,0.09,-0.2296641196516352,-0.8274579581249766,0.165,0.1,0.295,1040.0125051160373,0.00016124969988595694,1966.5577380877976,1181.5037741837484,m
0.17567868792581806,0.07342455159950699,0.145,0.1,0.25,0.15,0.2636782914588616,-1.6483721866870562,0.1,0.09,0.295,1507.120585351077,0.0005524485604837537,2886.3843985423523,1495.5744218407651,m
0.17953105225432525,0.06618004801007099,0.195,0.13,0.23375000000000004,0.10375000000000002,-0.16127240811331467,-0.8777088963349686,0.2,0.04,0.295,1332.0671149221844,0.0002358295023441315,2589.851606640539,1430.9875163822628,m
0.2152462095794693,0.036882173357985486,0.215,0.19,0.2375,0.0475,0.15088689880406345,0.49067184088404,0.215,0.075,0.295,1414.9719312229286,0.00011183464812347664,2712.228680006256,1212.6712833491206,m
0.13396100727155702,0.08511803827674674,0.145,0.03,0.205,0.17500000000000002,0.08622505120948322,-1.2985128445132756,0.03,0.02498048399687744,0.295,1015.1544986314988,4.352851829025895e-05,2053.4983786445914,1182.954799299385,m
0.1615767156340927,0.07417837413747971,0.1561865729898517,0.08375,0.2275,0.14375,-0.0469285161979294,-1.2329545333408036,0.07,0.035,0.295,1014.2071529604692,9.676780609879644e-05,1965.506457294776,1225.1935577042746,m
0.17248267154344876,0.07286478450306619,0.1775,0.0986329953198128,0.23,0.13136700468018722,-0.10068051164524117,-1.175548339787496,0.075,0.03,0.2998828582584928,1301.8031148566513,0.00017462590767536312,2513.710957333731,1423.887025845921,m
0.1353155870327234,0.05274091564379858,0.125,0.1,0.18,0.08,0.3896470634682093,-0.15174648511239575,0.12,0.03,0.28500000000000003,1029.5993342703682,8.187210187315941e-05,2023.9996845609119,1316.1611808494154,m
0.17935004923392744,0.056481349585192124,0.165,0.13,0.225,0.095,0.3816392287420127,-1.2711224516882904,0.14,0.095,0.295,1169.814775478104,0.00021543551702052355,2263.389011331402,1316.0220310334976,m
0.1456756756756757,0.0610843696794692,0.12,0.095,0.195,0.1,0.3196021039474325,-0.8339532615669123,0.095,0.045,0.28500000000000003,953.6008544289945,7.462275971192868e-05,1891.2774530419558,1263.889194541964,m
0.1625,0.07028216938408585,0.1275,0.1125,0.225,0.1125,0.5976991333872754,-1.4791328724121655,0.09,0.09,0.265,1385.0937989256245,0.00015939339937176555,2736.5013164709944,1425.5906191922595,m
0.17051365187975254,0.05229251861595515,0.165,0.125,0.205,0.08000000000000003,0.4392452767065444,-0.8050792418574222,0.115,0.08,0.2997658079625293,1431.7838531994532,0.0004851366684306413,2815.2522939984333,1543.9689776316156,m
0.18892857142857145,0.057792070990645025,0.2075,0.12625,0.23625,0.11000000000000004,-0.4603257887981629,-1.2765240117932626,0.09,0.09,0.265,1093.318556965618,0.00014828481653239578,2189.7036428681545,1375.2229611990122,m
0.21881858407079646,0.07010955215232409,0.25,0.1575,0.2811393805309734,0.12363938053097345,-0.3803919895771111,-1.5689231101855992,0.115,0.115,0.29,1708.653091360995,0.00031145167304202914,3210.132472826087,1652.8317678900669,m
